antibiotic,CDS
meropenem,NZ_AKBD01000229.1_16
meropenem,NZ_AKZD01000171.1_1
meropenem,NZ_AKZD01000172.1_24
meropenem,NZ_AKZE01000781.1_3
meropenem,NZ_AKZE01000837.1_2
meropenem,NZ_AKZE01000840.1_2
meropenem,NZ_AKZF01000068.1_69
meropenem,NZ_AKZF01000162.1_14
meropenem,NZ_AKZF01000199.1_12
meropenem,NZ_AKZF01000257.1_7
meropenem,NZ_AKZF01000259.1_19
meropenem,NZ_AKZH01000162.1_60
meropenem,NZ_ALBW01000034.1_5
meropenem,NZ_ALJH01000001.1_242
meropenem,NZ_ALJH01000004.1_21
meropenem,NZ_ALJH01000020.1_67
meropenem,NZ_ALJH01000020.1_68
meropenem,NZ_ALJH01000029.1_33
meropenem,NZ_ALJH01000029.1_37
meropenem,NZ_ALPS01000088.1_109
meropenem,NZ_ALPS01000088.1_120
meropenem,NZ_ALPS01000088.1_131
meropenem,NZ_ALPS01000088.1_134
meropenem,NZ_ALPS01000088.1_139
meropenem,NZ_ALPS01000088.1_144
meropenem,NZ_ALPS01000088.1_145
meropenem,NZ_ALPS01000088.1_149
meropenem,NZ_ALPS01000088.1_150
meropenem,NZ_ALPS01000088.1_152
meropenem,NZ_ALPS01000088.1_168
meropenem,NZ_ALPS01000088.1_172
meropenem,NZ_ALPS01000088.1_173
meropenem,NZ_ALPS01000088.1_174
meropenem,NZ_ALPS01000088.1_177
meropenem,NZ_ALPS01000088.1_18
meropenem,NZ_ALPS01000088.1_180
meropenem,NZ_ALPS01000088.1_183
meropenem,NZ_ALPS01000088.1_184
meropenem,NZ_ALPS01000088.1_185
meropenem,NZ_ALPS01000088.1_190
meropenem,NZ_ALPS01000088.1_191
meropenem,NZ_ALPS01000088.1_208
meropenem,NZ_ALPS01000088.1_218
meropenem,NZ_ALPS01000088.1_22
meropenem,NZ_ALPS01000088.1_221
meropenem,NZ_ALPS01000088.1_223
meropenem,NZ_ALPS01000088.1_224
meropenem,NZ_ALPS01000088.1_3
meropenem,NZ_ALPS01000088.1_34
meropenem,NZ_ALPS01000088.1_42
meropenem,NZ_ALPS01000088.1_5
meropenem,NZ_ALPS01000088.1_55
meropenem,NZ_ALPS01000088.1_64
meropenem,NZ_ALPS01000088.1_69
meropenem,NZ_ALPS01000088.1_71
meropenem,NZ_ALPS01000088.1_90
meropenem,NZ_ALPS01000088.1_91
meropenem,NZ_ALPS01000088.1_95
meropenem,NZ_ALPS01000115.1_86
meropenem,NZ_ALPS01000115.1_87
meropenem,NZ_ALPS01000176.1_16
meropenem,NZ_ALPS01000182.1_3
meropenem,NZ_ALPS01000287.1_3
meropenem,NZ_ALPS01000321.1_13
meropenem,NZ_ALPS01000321.1_28
meropenem,NZ_ALPS01000321.1_35
meropenem,NZ_ALPS01000321.1_47
meropenem,NZ_ALPS01000321.1_48
meropenem,NZ_ALPS01000321.1_50
meropenem,NZ_ALPS01000321.1_54
meropenem,NZ_ALPS01000321.1_57
meropenem,NZ_ALPS01000321.1_58
meropenem,NZ_ALPS01000321.1_61
meropenem,NZ_ALPS01000321.1_70
meropenem,NZ_ALPS01000321.1_72
meropenem,NZ_ALPS01000321.1_76
meropenem,NZ_AMVN01000052.1_5
meropenem,NZ_AMVN01000133.1_23
meropenem,NZ_AMVQ01000025.1_3
meropenem,NZ_AMVQ01000039.1_79
meropenem,NZ_AOIH01000025.1_56
meropenem,NZ_AP014646.1_2510
meropenem,NZ_AP014646.1_3400
meropenem,NZ_AP014646.1_5819
meropenem,NZ_AP014646.1_5830
meropenem,NZ_AP014646.1_5844
meropenem,NZ_AP014646.1_5845
meropenem,NZ_AP014651.1_2372
meropenem,NZ_AP014651.1_2374
meropenem,NZ_AP014651.1_2431
meropenem,NZ_AP014651.1_2479
meropenem,NZ_AP014651.1_2657
meropenem,NZ_AP014651.1_474
meropenem,NZ_AP014651.1_5406
meropenem,NZ_AP014651.1_6171
meropenem,NZ_AP014839.1_2632
meropenem,NZ_AP014839.1_2637
meropenem,NZ_AP014839.1_2686
meropenem,NZ_AP014839.1_5130
meropenem,NZ_AP017302.1_2345
meropenem,NZ_AP017302.1_2346
meropenem,NZ_AP017302.1_2351
meropenem,NZ_AP017302.1_2363
meropenem,NZ_AP017302.1_2367
meropenem,NZ_AP017302.1_2377
meropenem,NZ_AP017302.1_2379
meropenem,NZ_AP017302.1_2382
meropenem,NZ_AP017302.1_2385
meropenem,NZ_AP017302.1_2393
meropenem,NZ_AP017302.1_2394
meropenem,NZ_AP017302.1_2396
meropenem,NZ_AP017302.1_2397
meropenem,NZ_AP017302.1_2726
meropenem,NZ_AP017302.1_2743
meropenem,NZ_AP017302.1_333
meropenem,NZ_AP017302.1_335
meropenem,NZ_AP017302.1_3366
meropenem,NZ_AP017302.1_337
meropenem,NZ_AP017302.1_343
meropenem,NZ_AP017302.1_385
meropenem,NZ_AP017302.1_386
meropenem,NZ_AP017302.1_5851
meropenem,NZ_AP017302.1_5856
meropenem,NZ_AP017302.1_86
meropenem,NZ_APMD01000015.1_27
meropenem,NZ_APMD01000023.1_39
meropenem,NZ_APMD01000023.1_40
meropenem,NZ_APMD01000036.1_123
meropenem,NZ_ASQT01000042.1_58
meropenem,NZ_ASQV01000033.1_120
meropenem,NZ_ASQV01000063.1_1
meropenem,NZ_ASQV01000093.1_21
meropenem,NZ_ASQV01000093.1_22
meropenem,NZ_ASQV01000093.1_23
meropenem,NZ_ASQV01000093.1_24
meropenem,NZ_ASQW01000175.1_4
meropenem,NZ_ATAG01000075.1_4
meropenem,NZ_ATAG01000164.1_28
meropenem,NZ_ATAG01000354.1_4
meropenem,NZ_ATAG01000373.1_2
meropenem,NZ_ATAG01000393.1_1
meropenem,NZ_ATAH01000008.1_4
meropenem,NZ_ATAH01000020.1_10
meropenem,NZ_ATAH01000020.1_13
meropenem,NZ_ATAH01000020.1_14
meropenem,NZ_ATAH01000020.1_7
meropenem,NZ_ATAH01000020.1_8
meropenem,NZ_ATAH01000025.1_33
meropenem,NZ_ATAH01000025.1_34
meropenem,NZ_ATAH01000102.1_2
meropenem,NZ_ATAH01000110.1_2
meropenem,NZ_ATAH01000127.1_1
meropenem,NZ_ATAH01000174.1_46
meropenem,NZ_ATAH01000203.1_29
meropenem,NZ_ATAH01000214.1_23
meropenem,NZ_ATAH01000242.1_40
meropenem,NZ_ATAI01000010.1_1
meropenem,NZ_ATAI01000031.1_5
meropenem,NZ_ATAI01000087.1_154
meropenem,NZ_ATAI01000097.1_27
meropenem,NZ_ATAI01000101.1_22
meropenem,NZ_ATAI01000101.1_23
meropenem,NZ_ATAI01000101.1_24
meropenem,NZ_ATAI01000101.1_25
meropenem,NZ_ATAI01000101.1_36
meropenem,NZ_ATAJ02000005.1_76
meropenem,NZ_AWZA01001595.1_5
meropenem,NZ_AYML01000002.1_280
meropenem,NZ_AYML01000002.1_284
meropenem,NZ_AYML01000002.1_285
meropenem,NZ_AYML01000002.1_287
meropenem,NZ_AYML01000006.1_642
meropenem,NZ_AYON01000262.1_15
meropenem,NZ_AYON01000263.1_2
meropenem,NZ_AYON01000263.1_3
meropenem,NZ_AYSK01000003.1_48
meropenem,NZ_AYSK01000010.1_104
meropenem,NZ_AYSK01000010.1_109
meropenem,NZ_AYSK01000131.1_3
meropenem,NZ_AYSK01000131.1_7
meropenem,NZ_AYSK01000169.1_3
meropenem,NZ_AYSZ01000010.1_146
meropenem,NZ_AYSZ01000014.1_7
meropenem,NZ_AYSZ01000051.1_12
meropenem,NZ_AYSZ01000051.1_13
meropenem,NZ_AYSZ01000051.1_14
meropenem,NZ_AYSZ01000116.1_22
meropenem,NZ_AYSZ01000126.1_31
meropenem,NZ_AYSZ01000132.1_107
meropenem,NZ_AYSZ01000132.1_21
meropenem,NZ_AYSZ01000146.1_32
meropenem,NZ_AYSZ01000275.1_27
meropenem,NZ_AYSZ01000275.1_28
meropenem,NZ_AYSZ01000275.1_29
meropenem,NZ_AYSZ01000275.1_30
meropenem,NZ_AYSZ01000277.1_55
meropenem,NZ_AYSZ01000277.1_56
meropenem,NZ_AYUC01000134.1_83
meropenem,NZ_AYUC01000163.1_52
meropenem,NZ_AZBO01000014.1_11
meropenem,NZ_AZBO01000036.1_31
meropenem,NZ_AZBO01000036.1_34
meropenem,NZ_AZBO01000078.1_53
meropenem,NZ_AZBO01000137.1_61
meropenem,NZ_AZHU01000025.1_111
meropenem,NZ_AZHU01000075.1_16
meropenem,NZ_AZHU01000088.1_18
meropenem,NZ_AZHU01000088.1_26
meropenem,NZ_AZHU01000093.1_14
meropenem,NZ_AZHU01000093.1_6
meropenem,NZ_AZHU01000093.1_9
meropenem,NZ_AZHU01000108.1_2
meropenem,NZ_AZHU01000116.1_3
meropenem,NZ_AZHU01000116.1_5
meropenem,NZ_AZHU01000152.1_11
meropenem,NZ_AZHU01000152.1_23
meropenem,NZ_AZHU01000152.1_34
meropenem,NZ_AZYL01000162.1_1
meropenem,NZ_BBQK01000002.1_31
meropenem,NZ_BBQK01000003.1_2
meropenem,NZ_BBQK01000018.1_10
meropenem,NZ_BBQK01000018.1_6
meropenem,NZ_BBQK01000037.1_1
meropenem,NZ_BBQK01000039.1_10
meropenem,NZ_BBQK01000045.1_10
meropenem,NZ_BBQK01000045.1_14
meropenem,NZ_BBQK01000045.1_30
meropenem,NZ_BBQK01000045.1_4
meropenem,NZ_BBQK01000063.1_11
meropenem,NZ_BIFN01000009.1_72
meropenem,NZ_BIFN01000010.1_125
meropenem,NZ_BIFN01000017.1_42
meropenem,NZ_BIFN01000048.1_34
meropenem,NZ_BIFN01000067.1_13
meropenem,NZ_BIFN01000067.1_17
meropenem,NZ_BIFN01000067.1_30
meropenem,NZ_BIFN01000067.1_41
meropenem,NZ_BIFN01000067.1_9
meropenem,NZ_BIFN01000091.1_1
meropenem,NZ_BIFO01000051.1_28
meropenem,NZ_BSAL01000001.1_116
meropenem,NZ_BSAL01000001.1_119
meropenem,NZ_BSAL01000001.1_125
meropenem,NZ_BSAL01000001.1_128
meropenem,NZ_BSAL01000001.1_161
meropenem,NZ_BSAL01000001.1_167
meropenem,NZ_BSAL01000001.1_199
meropenem,NZ_BSAL01000001.1_262
meropenem,NZ_BSAL01000001.1_268
meropenem,NZ_BSAL01000001.1_277
meropenem,NZ_BSAL01000001.1_430
meropenem,NZ_BSAL01000001.1_433
meropenem,NZ_BSAL01000001.1_69
meropenem,NZ_BSAL01000001.1_82
